"","County","Year","Population","PovertyLevel","MedHInc","PerCapitaIncome","Countytype","ft_emp","ft_pay","pt_emp","pt_pay","pt_hours","ft_equivalent","FTE_PerThousandP"
"1","Albany",1994,300262,NA,"","","Non Rural",2833,6194505,386,286596,27447,3001,9.99460471188496
"2","Albany",1996,297680,NA,"","","Non Rural",NA,NA,NA,NA,NA,NA,NA
"3","Albany",1997,296187,NA,"","","Non Rural",2650,6394489,342,295910,27305,2815,9.50413083626223
"4","Albany",1998,295097,NA,"","","Non Rural",2519,6457959,358,336665,27939,2700,9.14953388207945
"5","Albany",1999,294692,NA,"","","Non Rural",2099,5899094,404,194071,19487,2225,7.5502558603559
"6","Albany",2000,280096,10.6,"42281","23345","Non Rural",2606,7396266,299,277593,25298,2768,9.88232605963669
"7","Albany",2001,296232,NA,"","","Non Rural",2619,7871104,420,398588,32389,2828,9.54657160603851
"8","Albany",2002,298283,NA,"","","Non Rural",2580,8867048,407,689981,38780,2830,9.48763422655666
"9","Albany",2003,301085,NA,"","","Non Rural",2668,8591496,317,261642,19673,2795,9.28309281432154
"10","Albany",2004,302173,NA,"","","Non Rural",2500,8434725,287,405063,28877,2686,8.88894772200031
"11","Albany",2005,302791,NA,"","","Non Rural",NA,NA,NA,NA,NA,NA,NA
"12","Albany",2006,303997,NA,"","","Non Rural",2588,9133900,277,338486,21906,2729,8.97706227364086
"13","Albany",2007,303858,NA,"","","Non Rural",2530,9258732,257,312215,19364,2654,8.7343430154875
"14","Albany",2008,303739,NA,"","","Non Rural",2534,9581215,254,334399,23732,2686,8.84311859853361
"15","Albany",2009,298341,11.8,"55350","30063","Non Rural",2486,9865771,243,340005,23026,2634,8.82882339336531
"16","Albany",2010,304032,11.9,"56090","30863","Non Rural",2409,10896901,184,296859,19736,2537,8.34451636669824
"17","Albany",2011,303957,12.1,"57715","31728","Non Rural",2255,9232843,273,352435,23072,2405,7.91230338501827
"18","Albany",2012,304511,12.4,"59359","31924","Non Rural",2091,9993893,240,412490,18826,2214,7.27067330901018
"19","Albany",2013,305279,12.3,"59394","32328","Non Rural",2054,10030097,240,407325,18580,2161,7.0787705672516
"20","Albany",2014,306124,12.9,"59940","32624","Non Rural",2026,9985749,231,384639,17534,2125,6.94163149573375
"21","Albany",2015,307463,12.8,"59887","32779","Non Rural",2077,8964496,223,354109,16508,2183,7.10004130578313
"22","Allegany",1994,51012,NA,"","","Rural",NA,NA,NA,NA,NA,NA,NA
"23","Allegany",1996,50869,NA,"","","Rural",NA,NA,NA,NA,NA,NA,NA
"24","Allegany",1997,50325,NA,"","","Rural",435,1034665,68,49208,4451,463,9.20019870839543
"25","Allegany",1998,49991,NA,"","","Rural",NA,NA,NA,NA,NA,NA,NA
"26","Allegany",1999,49997,NA,"","","Rural",NA,NA,NA,NA,NA,NA,NA
"27","Allegany",2000,45561,15.5,"32876","14975","Rural",NA,NA,NA,NA,NA,NA,NA
"28","Allegany",2001,50079,NA,"","","Rural",NA,NA,NA,NA,NA,NA,NA
"29","Allegany",2002,50014,NA,"","","Rural",NA,NA,NA,NA,NA,NA,NA
"30","Allegany",2003,50165,NA,"","","Rural",NA,NA,NA,NA,NA,NA,NA
"31","Allegany",2004,50311,NA,"","","Rural",NA,NA,NA,NA,NA,NA,NA
"32","Allegany",2005,49768,NA,"","","Rural",NA,NA,NA,NA,NA,NA,NA
"33","Allegany",2006,49359,NA,"","","Rural",NA,NA,NA,NA,NA,NA,NA
"34","Allegany",2007,49079,NA,"","","Rural",467,1534486,66,59674,3335,489,9.96352818924591
"35","Allegany",2008,49177,NA,"","","Rural",NA,NA,NA,NA,NA,NA,NA
"36","Allegany",2009,49391,15.2,"40917","19440","Rural",NA,NA,NA,NA,NA,NA,NA
"37","Allegany",2010,49105,14.9,"41305","20058","Rural",NA,NA,NA,NA,NA,NA,NA
"38","Allegany",2011,48991,14.8,"41900","20047","Rural",NA,NA,NA,NA,NA,NA,NA
"39","Allegany",2012,48837,15.3,"42095","20571","Rural",441,1714791,105,120023,5941,480,9.82861355120093
"40","Allegany",2013,48618,14.7,"42445","20978","Rural",NA,NA,NA,NA,NA,NA,NA
"41","Allegany",2014,48387,15.2,"42726","20881","Rural",NA,NA,NA,NA,NA,NA,NA
"42","Allegany",2015,48070,15.2,"42776","20940","Rural",NA,NA,NA,NA,NA,NA,NA
"43","Bronx",1994,1250789,NA,"","","Non Rural",NA,NA,NA,NA,NA,NA,NA
"44","Bronx",1996,1272693,NA,"","","Non Rural",NA,NA,NA,NA,NA,NA,NA
"45","Bronx",1997,1285683,NA,"","","Non Rural",NA,NA,NA,NA,NA,NA,NA
"46","Bronx",1998,1300823,NA,"","","Non Rural",NA,NA,NA,NA,NA,NA,NA
"47","Bronx",1999,1317895,NA,"","","Non Rural",NA,NA,NA,NA,NA,NA,NA
"48","Bronx",2000,1288234,30.7,"27696","13959","Non Rural",NA,NA,NA,NA,NA,NA,NA
"49","Bronx",2001,1346555,NA,"","","Non Rural",NA,NA,NA,NA,NA,NA,NA
"50","Bronx",2002,1358739,NA,"","","Non Rural",NA,NA,NA,NA,NA,NA,NA
"51","Bronx",2003,1362373,NA,"","","Non Rural",NA,NA,NA,NA,NA,NA,NA
"52","Bronx",2004,1358963,NA,"","","Non Rural",NA,NA,NA,NA,NA,NA,NA
"53","Bronx",2005,1351736,NA,"","","Non Rural",NA,NA,NA,NA,NA,NA,NA
"54","Bronx",2006,1348164,NA,"","","Non Rural",NA,NA,NA,NA,NA,NA,NA
"55","Bronx",2007,1354056,NA,"","","Non Rural",NA,NA,NA,NA,NA,NA,NA
"56","Bronx",2008,1363488,NA,"","","Non Rural",NA,NA,NA,NA,NA,NA,NA
"57","Bronx",2009,1381529,27.1,"33794","17301","Non Rural",NA,NA,NA,NA,NA,NA,NA
"58","Bronx",2010,1365725,27.6,"34264","17575","Non Rural",NA,NA,NA,NA,NA,NA,NA
"59","Bronx",2011,1374593,27.7,"34744","17992","Non Rural",NA,NA,NA,NA,NA,NA,NA
"60","Bronx",2012,1386364,28.6,"34300","18048","Non Rural",NA,NA,NA,NA,NA,NA,NA
"61","Bronx",2013,1397315,29,"34388","18171","Non Rural",NA,NA,NA,NA,NA,NA,NA
"62","Bronx",2014,1413566,29.7,"34284","18269","Non Rural",NA,NA,NA,NA,NA,NA,NA
"63","Bronx",2015,1428357,29.9,"34299","18456","Non Rural",NA,NA,NA,NA,NA,NA,NA
"64","Broome",1994,210823,NA,"","","Non Rural",2153,5008457,955,802990,77403,2606,12.3610801478017
"65","Broome",1996,204415,NA,"","","Non Rural",NA,NA,NA,NA,NA,NA,NA
"66","Broome",1997,202053,NA,"","","Non Rural",2173,5753373,1093,772236,58785,2515,12.4472291923406
"67","Broome",1998,201072,NA,"","","Non Rural",2162,5840590,823,744423,66622,2564,12.7516511498369
"68","Broome",1999,200881,NA,"","","Non Rural",2197,5992269,848,769371,65209,2575,12.8185343561611
"69","Broome",2000,191350,12.8,"36343","19168","Non Rural",2228,6455702,888,723818,61842,2587,13.5197282466684
"70","Broome",2001,200868,NA,"","","Non Rural",2233,6731173,788,661357,48952,2528,12.5853794531732
"71","Broome",2002,201438,NA,"","","Non Rural",2374,7361061,804,669018,50670,2679,13.2993774759479
"72","Broome",2003,201037,NA,"","","Non Rural",2267,7295269,869,719058,47125,2539,12.6295159597487
"73","Broome",2004,200974,NA,"","","Non Rural",NA,NA,NA,NA,NA,NA,NA
"74","Broome",2005,200477,NA,"","","Non Rural",2263,6941413,846,698455,42746,2520,12.5700205011049
"75","Broome",2006,200905,NA,"","","Non Rural",2357,7692904,1014,943972,59802,2717,13.5238047833553
"76","Broome",2007,200877,NA,"","","Non Rural",2273,8404849,1129,1207722,69665,2695,13.4161700941372
"77","Broome",2008,201029,NA,"","","Non Rural",2271,8400628,1234,1139547,61735,2643,13.1473568490118
"78","Broome",2009,195209,14.3,"43467","24432","Non Rural",2230,8602685,1072,1183345,64307,2601,13.324180749863
"79","Broome",2010,200804,14.7,"44457","24314","Non Rural",2211,8607886,1126,1246860,68872,2606,12.9778291269098
"80","Broome",2011,200448,15.4,"45619","24766","Non Rural",2135,8704481,1053,1273922,65544,2530,12.6217273307791
"81","Broome",2012,199928,15.7,"45856","24872","Non Rural",2054,8505656,1040,1422315,68178,2477,12.389460205674
"82","Broome",2013,199298,16.5,"45958","24835","Non Rural",2005,8490973,1124,1429595,68823,2429,12.1877791046573
"83","Broome",2014,198797,16.9,"46368","24820","Non Rural",1999,8682709,991,1216656,61486,2377,11.9569208790877
"84","Broome",2015,198093,17,"46261","25105","Non Rural",1979,8741197,1002,1277845,61881,2350,11.8631147996143
